latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.790861,76.6313,88.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),wind_speed_10m_max (km/h),temperature_2m_mean (°C)
2016-04-23,36.3,26.7,0.60,14.0,31.0
2016-04-24,37.8,26.8,0.70,14.0,31.4
2016-04-25,38.6,26.9,0.40,11.8,31.2
2016-04-26,41.2,26.5,0.30,12.1,32.9
2016-04-27,40.3,26.8,0.00,13.7,32.6
2016-04-28,40.2,27.3,0.00,12.8,32.5
2016-04-29,40.2,27.2,0.20,13.7,32.2
2016-04-30,40.1,26.9,0.00,14.0,32.2
2016-05-01,39.5,27.0,0.00,14.1,32.0
2016-05-02,38.4,26.6,0.10,12.9,32.0
2016-05-03,38.3,27.6,0.30,12.6,31.7
2016-05-04,38.4,27.1,0.70,12.0,31.2
2016-05-05,38.5,26.4,1.30,11.9,30.7
2016-05-06,35.9,26.3,0.90,12.4,30.2
2016-05-07,37.3,26.5,1.80,9.9,30.3
2016-05-08,36.3,26.4,1.80,12.5,30.0
2016-05-09,38.7,26.5,1.60,7.0,31.3
2016-05-10,36.6,25.7,19.30,9.9,29.3
2016-05-11,34.9,25.6,0.10,11.7,29.0
2016-05-12,34.4,25.6,0.90,10.8,28.5
2016-05-13,35.4,25.5,0.60,13.3,29.1
2016-05-14,35.3,25.2,3.50,9.8,29.2
2016-05-15,34.4,25.0,1.80,11.9,28.2
2016-05-16,27.4,24.8,2.30,7.3,25.9
2016-05-17,28.1,23.7,2.30,12.6,25.6
2016-05-18,29.7,24.3,3.30,16.8,26.3
2016-05-19,31.6,24.7,2.50,18.2,27.1
2016-05-20,29.6,24.8,0.80,19.6,26.8
2016-05-21,32.7,25.2,0.00,20.1,28.4
2016-05-22,33.5,25.4,3.30,19.0,28.2
2016-05-23,33.4,25.7,0.20,18.4,28.9
2016-05-24,32.0,25.6,1.80,17.6,28.0
2016-05-25,32.1,25.0,1.20,19.1,27.4
2016-05-26,32.1,24.9,1.00,16.0,27.7
2016-05-27,32.7,24.4,4.60,16.7,27.0
2016-05-28,32.0,24.3,3.60,16.6,26.4
2016-05-29,30.9,24.2,1.50,16.3,26.4
2016-05-30,30.0,24.4,4.90,14.0,26.0
2016-05-31,29.9,24.0,8.20,16.1,25.8
2016-06-01,29.0,24.0,6.40,15.0,25.7
2016-06-02,29.2,24.2,1.80,15.0,26.1
2016-06-03,29.7,24.4,2.20,14.2,26.3
2016-06-04,28.3,24.2,3.40,14.8,25.6
2016-06-05,27.8,23.9,5.10,14.8,25.2
2016-06-06,28.8,24.3,3.50,15.8,25.8
2016-06-07,28.2,24.4,3.20,13.5,25.9
2016-06-08,28.0,24.0,10.10,14.1,25.1
2016-06-09,28.2,24.0,8.70,16.3,25.1
